candidate_id,curve_flatten_tolerance_mm,edge_alignment_score,error,fill_spacing_mm,fill_strategy,hatch_angle_deg,iou,min_feature_size_mm,outline_pass_enabled,outside_overdraw_percent,path_cleanliness_score,pen_width_mm,penalized_coverage_percent,precision,raw_coverage_percent,recall,score,simplify_tolerance_mm
F0158,0.0375,0.7907283229240847,,0.45,offset,0.0,0.8200754928002237,0.225,True,12.291993720565149,0.9751660341555978,0.6,79.79591836734694,0.8822379305158671,92.08791208791209,0.9208791208791208,0.8692516509666965,0.0375
C0001,0.05,0.7895845490836638,,0.45,hybrid,0.0,0.8190462872325549,0.3,False,12.260596546310833,0.9762883358471593,0.6,79.68602825745683,0.8823440795420308,91.94662480376766,0.9194662480376766,0.8685988579412741,0.05
C0003,0.05,0.7895845490836638,,0.45,offset,0.0,0.8190462872325549,0.3,False,12.260596546310833,0.9762883358471593,0.6,79.68602825745683,0.8823440795420308,91.94662480376766,0.9194662480376766,0.8685988579412741,0.05
C0005,0.05,0.7895845490836638,,0.45,hatch,45.0,0.8190462872325549,0.3,False,12.260596546310833,0.9762883358471593,0.6,79.68602825745683,0.8823440795420308,91.94662480376766,0.9194662480376766,0.8685988579412741,0.05
F0156,0.05,0.7895845490836638,,0.414,offset,0.0,0.8190462872325549,0.375,True,12.260596546310833,0.9762883358471593,0.6,79.68602825745683,0.8823440795420308,91.94662480376766,0.9194662480376766,0.8685988579412741,0.05
F0095,0.05,0.7433254949767331,,0.45,hybrid,0.0,0.8162987189970019,0.375,False,15.196232339089482,0.9331547619047619,0.648,78.83830455259027,0.8608795630928427,94.03453689167975,0.9403453689167975,0.8580464548881206,0.05
F0084,0.05,0.7515549728138519,,0.414,hybrid,0.0,0.8105714681057147,0.375,True,13.453689167974883,0.9462322036205254,0.648,78.50863422291994,0.8723752792256143,91.96232339089482,0.9196232339089482,0.856477161621725,0.05
C0002,0.05,,cannot access local variable 'coverage_class' where it is not associated with a value,0.765,hybrid,0.0,,0.225,True,,,0.9,,,,,-1.0,0.05
C0004,0.05,,cannot access local variable 'coverage_class' where it is not associated with a value,0.765,offset,0.0,,0.225,True,,,0.9,,,,,-1.0,0.05
C0006,0.05,,cannot access local variable 'coverage_class' where it is not associated with a value,0.765,hatch,90.0,,0.225,True,,,0.9,,,,,-1.0,0.05
